mode,conv,turn,prompt_tokens_approx,ttft_ms,total_ms,response_preview
native,1,1,9655,114715.9,130417.4,
native,1,2,9668,122871.1,128461.9,
native,1,3,9680,137300.6,143319.3,
native,1,4,9692,125567.2,130235.7,
native,1,5,9703,121961.5,127034.8,
native,2,1,9655,96182.2,120069.8,
native,2,2,9665,103675.3,110884.4,
native,2,3,9675,100925.6,130875.1,
native,2,4,9685,99860.3,129625.6,
native,2,5,9696,82234.6,93418.8,
native,3,1,9652,143367.2,148203.3,
native,3,2,9658,98017.9,107216.9,
native,3,3,9666,110535.3,118289.9,
native,3,4,9675,106669.9,111956.3,
native,3,5,9684,94538.3,98562.7,
native,4,1,9655,121904.6,126917.2,
native,4,2,9666,113294.3,130581.2,
native,4,3,9676,123706.3,145128.8,
native,4,4,9686,88979.4,93791.3,
native,4,5,9699,99919.1,104066.3,
native,5,1,9655,109041.2,139430.9,
native,5,2,9666,97893.4,102487.6,
native,5,3,9678,124301.5,144700.5,
native,5,4,9684,117377.8,143004.1,
native,5,5,9697,134247.9,159632.3,
wombatkv,1,1,9655,130635.2,143401.7,
wombatkv,1,2,9668,1124.4,4064.7,
wombatkv,1,3,9680,2022.9,4966.8,
wombatkv,1,4,9692,1451.0,4346.1,
wombatkv,1,5,9703,1260.4,4176.9,
wombatkv,2,1,9655,3423.0,6724.0,
wombatkv,2,2,9665,1568.4,4475.5,
wombatkv,2,3,9675,2169.6,5081.1,
wombatkv,2,4,9685,1812.4,4753.6,
wombatkv,2,5,9696,1887.2,4781.9,
wombatkv,3,1,9652,2421.2,5321.8,
wombatkv,3,2,9658,2530.2,5449.5,
wombatkv,3,3,9666,1532.6,4475.9,
wombatkv,3,4,9675,1883.2,4817.8,
wombatkv,3,5,9684,1696.9,4611.4,
wombatkv,4,1,9655,2383.8,5329.4,
wombatkv,4,2,9666,1204.3,4107.2,
wombatkv,4,3,9676,3095.6,6091.9,
wombatkv,4,4,9686,1902.8,4827.8,
wombatkv,4,5,9699,1814.9,4711.9,
wombatkv,5,1,9655,2351.5,5290.0,
wombatkv,5,2,9666,1736.5,4648.9,
wombatkv,5,3,9678,2130.6,5052.4,
wombatkv,5,4,9684,1780.9,4694.7,
wombatkv,5,5,9697,1753.4,4689.9,
